epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.048,2.86436,4.38709,1.95677,0.00621,0.1164,0.00988,0.00551,1.75738,4.07915,1.10021,0.06722,0.000331111,0.000331111
2,294.24,2.69471,4.21061,1.81787,0.0095,0.24085,0.02245,0.01104,1.78631,3.86506,1.11481,0.0342068,0.000651288,0.000651288
3,509.898,2.54573,4.07948,1.72482,0.00814,0.24816,0.02261,0.00961,1.92065,3.70478,1.15774,0.00118049,0.000958266,0.000958266
4,759.597,2.46891,3.91804,1.64096,0.71911,0.01663,0.02169,0.00772,2.16712,3.39264,1.23794,0.0009406,0.0009406,0.0009406
5,988.098,2.44526,3.68013,1.59805,0.70766,0.0264,0.02644,0.00845,2.34041,2.96119,1.2999,0.0009208,0.0009208,0.0009208
6,1155.6,2.46657,3.47259,1.5539,0.93502,0.03048,0.03326,0.01257,2.26538,2.82204,1.27815,0.000901,0.000901,0.000901
7,1316.56,2.47216,3.27862,1.57196,0.93649,0.03011,0.03414,0.01441,2.22457,2.75596,1.27024,0.0008812,0.0008812,0.0008812
8,1473.09,2.42448,3.15436,1.55892,0.93858,0.03059,0.0362,0.01528,2.21386,2.62597,1.28005,0.0008614,0.0008614,0.0008614
9,1623.67,2.39697,3.10603,1.58387,0.93905,0.03217,0.03732,0.01559,2.2773,2.5344,1.32472,0.0008416,0.0008416,0.0008416
10,1767.73,2.36163,2.97311,1.54718,0.90369,0.03294,0.03774,0.01536,2.28161,2.49555,1.33438,0.0008218,0.0008218,0.0008218
11,1930.69,2.35078,2.8834,1.53495,0.87015,0.03514,0.03953,0.01636,2.2332,2.41047,1.31024,0.000802,0.000802,0.000802
12,2087.29,2.33985,2.80057,1.53831,0.85363,0.03965,0.04145,0.01677,2.24372,2.37811,1.31466,0.0007822,0.0007822,0.0007822
13,2333.15,2.34053,2.8025,1.53195,0.85534,0.04185,0.04436,0.01863,2.19767,2.32351,1.29587,0.0007624,0.0007624,0.0007624
14,2570.11,2.31138,2.74979,1.51789,0.85622,0.04411,0.04702,0.01952,2.19436,2.27433,1.29594,0.0007426,0.0007426,0.0007426
15,2804.29,2.2963,2.69221,1.51477,0.75258,0.04367,0.04996,0.02078,2.17193,2.23099,1.29469,0.0007228,0.0007228,0.0007228
16,2998.55,2.30331,2.67796,1.52427,0.74732,0.0491,0.05149,0.02126,2.16108,2.18849,1.28712,0.000703,0.000703,0.000703
17,3152.25,2.28847,2.62187,1.50503,0.75871,0.05246,0.05355,0.02187,2.17993,2.17191,1.30022,0.0006832,0.0006832,0.0006832
